Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
WAYMO LLC,AVT003,SADHW2S16M1616972,0,0,0,0,0,0,0,0,0,0,219.2,1923.9,1500.8,3643.9,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616632,0,0,0,0,0,0,0,0,0,0,0,13.3,0,13.3,,,,,
WAYMO LLC,AVT003,SADHW2S16M1616650,0,0,0,0,0,0,0,0,0,0,167,1308.3,965.2,2440.5,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616341,0,0,0,0,0,0,0,0,0,114.7,1064.6,1365.5,1048.2,3593,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616985,1,0,0,0,0,0,0,0,0,0,405.9,1428.3,2533.7,4367.9,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616792,0,0,0,0,0,0,0,0,0,0,360.2,1924.3,2993.7,5278.2,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616773,0,0,0,0,0,0,0,0,0,0,206.3,1907.5,2022.6,4136.4,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616853,0,0,0,0,0,0,0,0,0,0,244.4,1671,923,2838.4,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616726,0,0,0,0,0,0,0,0,0,0,68.8,810.7,841.8,1721.3,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616542,0,0,0,0,0,0,0,0,0,0,212,1908.4,1115.5,3235.9,,,,,
WAYMO LLC,AVT003,SADHW2S17M1616527,0,0,0,0,0,0,0,0,0,0,276,1265.8,2528,4069.8,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616572,0,0,0,0,0,0,0,0,0,0,364.5,890,868.4,2122.9,,,,,
WAYMO LLC,AVT003,SADHW2S17M1616799,0,0,0,0,0,0,0,0,0,103.2,408.5,1567.4,1185.7,3264.8,,,,,
WAYMO LLC,AVT003,SADHW2S17M1616916,0,0,0,0,0,0,0,0,0,0,0,803.6,913.6,1717.2,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616501,0,0,0,0,0,0,0,0,0,0,321.4,1720.4,1101,3142.8,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616492,0,0,0,0,0,0,0,0,0,0,0,1287.3,2794.4,4081.7,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616613,0,0,0,0,0,0,0,0,0,0,0,420.3,362.2,782.5,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616761,0,0,0,0,0,0,0,0,0,0,156.4,103.1,1481.4,1740.9,,,,,
WAYMO LLC,AVT003,SADHW2S18M1616603,0,0,0,0,0,0,0,0,0,0,0,503.7,1621.9,2125.6,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616880,2,0,0,0,0,0,0,0,0,0,93.6,813.3,1947.3,2854.2,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616392,0,0,0,0,0,0,0,0,0,0,0,1587.2,840,2427.2,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616385,0,0,0,0,0,0,0,0,0,0,0,1029,1907.3,2936.3,,,,,
WAYMO LLC,AVT003,SADHW2S18M1616441,0,0,0,0,0,0,0,0,0,0,0,579.4,923.4,1502.8,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616557,0,0,0,0,0,0,0,0,0,0,320.5,1946.8,1404.3,3671.6,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616577,0,0,0,0,0,0,0,0,0,0,0,796.7,1412.9,2209.6,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616626,0,0,0,0,0,0,0,0,0,0,0,158.3,955.1,1113.4,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616824,0,0,0,0,0,0,0,0,0,0,0,65.8,1236.8,1302.6,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S14M1616811,0,0,0,0,0,0,0,0,0,0,280.3,1685.3,210.8,2176.4,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616674,0,0,0,0,0,0,0,0,0,0,0,974.9,1754.4,2729.3,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616402,0,0,0,0,0,0,0,0,0,0,0,0,93.8,93.8,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616333,0,0,0,0,0,0,0,0,0,0,0,1012.3,1024.9,2037.2,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616712,0,0,0,0,0,0,0,0,0,0,0,104.4,1278.4,1382.8,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616427,0,0,0,0,0,0,0,0,0,0,90.1,1984.9,2227.9,4302.9,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616411,0,0,0,0,0,0,0,0,0,0,370.4,1382.1,1981.6,3734.1,,,,,
WAYMO LLC,AVT003,SADHW2S19M1616609,0,0,0,0,0,0,0,0,0,0,0,340.1,1661,2001.1,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616893,0,0,0,0,0,0,0,0,0,0,0,906.1,772.9,1679,,,,,
